"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"1999"	"1999"	45	608323	7.397385928
	"Alabama"	"01"	"2000"	"2000"	48	603015	7.960000995
	"Alabama"	"01"	"2001"	"2001"	41	588949	6.961553547
	"Alabama"	"01"	"2002"	"2002"	52	583671	8.909128602
	"Alabama"	"01"	"2003"	"2003"	44	583109	7.545759026
	"Alabama"	"01"	"2004"	"2004"	49	583760	8.393860491
	"Alabama"	"01"	"2005"	"2005"	77	585831	13.143722336
	"Alabama"	"01"	"2006"	"2006"	103	591061	17.426289334
	"Alabama"	"01"	"2007"	"2007"	99	593652	16.676436700
	"Alabama"	"01"	"2008"	"2008"	154	598776	25.719133699
	"Alabama"	"01"	"2009"	"2009"	163	605551	26.917633692
	"Alabama"	"01"	"2010"	"2010"	146	608922	23.976798342
	"Alabama"	"01"	"2011"	"2011"	137	614507	22.294294451
	"Alabama"	"01"	"2012"	"2012"	158	617757	25.576399782
	"Alabama"	"01"	"2013"	"2013"	171	620984	27.536941370
	"Alabama"	"01"	"2014"	"2014"	183	626387	29.215165704
	"Alabama"	"01"	"2015"	"2015"	166	632726	26.235684957
	"Alabama"	"01"	"2016"	"2016"	204	637487	32.000652562
	"Alaska"	"02"	"1999"	"1999"	12	90016	Unreliable
	"Alaska"	"02"	"2000"	"2000"	10	89473	Unreliable
	"Alaska"	"02"	"2001"	"2001"	16	87154	Unreliable
	"Alaska"	"02"	"2002"	"2002"	10	86652	Unreliable
	"Alaska"	"02"	"2003"	"2003"	15	86372	Unreliable
	"Alaska"	"02"	"2004"	"2004"	16	87247	Unreliable
	"Alaska"	"02"	"2005"	"2005"	15	88158	Unreliable
	"Alaska"	"02"	"2006"	"2006"	17	89788	Unreliable
	"Alaska"	"02"	"2007"	"2007"	20	92158	21.701859849
	"Alaska"	"02"	"2008"	"2008"	23	95378	24.114575688
	"Alaska"	"02"	"2009"	"2009"	20	98338	20.338017857
	"Alaska"	"02"	"2010"	"2010"	13	103125	Unreliable
	"Alaska"	"02"	"2011"	"2011"	22	106879	20.584024925
	"Alaska"	"02"	"2012"	"2012"	37	111110	33.300333003
	"Alaska"	"02"	"2013"	"2013"	25	114828	21.771693315
	"Alaska"	"02"	"2014"	"2014"	28	118396	23.649447617
	"Alaska"	"02"	"2015"	"2015"	34	120486	28.219046196
	"Alaska"	"02"	"2016"	"2016"	36	120453	29.887175911
	"Arizona"	"04"	"1999"	"1999"	113	738538	15.300499094
	"Arizona"	"04"	"2000"	"2000"	114	742665	15.350124215
	"Arizona"	"04"	"2001"	"2001"	104	748567	13.893211964
	"Arizona"	"04"	"2002"	"2002"	110	761307	14.448836015
	"Arizona"	"04"	"2003"	"2003"	118	771335	15.298151905
	"Arizona"	"04"	"2004"	"2004"	99	788430	12.556599825
	"Arizona"	"04"	"2005"	"2005"	122	811925	15.026018413
	"Arizona"	"04"	"2006"	"2006"	148	838414	17.652376988
	"Arizona"	"04"	"2007"	"2007"	153	851237	17.973842772
	"Arizona"	"04"	"2008"	"2008"	131	858658	15.256365165
	"Arizona"	"04"	"2009"	"2009"	191	859294	22.227549593
	"Arizona"	"04"	"2010"	"2010"	209	856693	24.396137239
	"Arizona"	"04"	"2011"	"2011"	205	870723	23.543652803
	"Arizona"	"04"	"2012"	"2012"	211	877831	24.036517279
	"Arizona"	"04"	"2013"	"2013"	207	881828	23.473965444
	"Arizona"	"04"	"2014"	"2014"	232	897745	25.842527667
	"Arizona"	"04"	"2015"	"2015"	251	913645	27.472377127
	"Arizona"	"04"	"2016"	"2016"	303	933128	32.471429429
	"Arkansas"	"05"	"1999"	"1999"	22	351295	6.262542877
